county,date,rooms,rooms_occupied,trailers_requested,trailers_delivered,donated_trailers_delivered
Alameda,2020-04-14T00:00:00,403.0,115.0,91.0,85.0,
Alpine,2020-04-14T00:00:00,,,,,
Amador,2020-04-14T00:00:00,,,,,
Butte,2020-04-14T00:00:00,65.0,65.0,,,
Calaveras,2020-04-14T00:00:00,,,,,
Colusa,2020-04-14T00:00:00,,,,,
Contra Costa,2020-04-14T00:00:00,340.0,,,,
Del Norte,2020-04-14T00:00:00,,,,,
El Dorado,2020-04-14T00:00:00,,,,,
Fresno,2020-04-14T00:00:00,305.0,250.0,28.0,,
Glenn,2020-04-14T00:00:00,,,,,
Humboldt,2020-04-14T00:00:00,,,15.0,,
Imperial,2020-04-14T00:00:00,36.0,,,,
Inyo,2020-04-14T00:00:00,,,,,
Kern,2020-04-14T00:00:00,,,15.0,15.0,
Kings,2020-04-14T00:00:00,,,,,
Lake,2020-04-14T00:00:00,,,,,
Lassen,2020-04-14T00:00:00,,,,,
Los Angeles,2020-04-14T00:00:00,2654.0,535.0,658.0,654.0,
Madera,2020-04-14T00:00:00,,,,,
Marin,2020-04-14T00:00:00,80.0,43.0,44.0,,
Mariposa,2020-04-14T00:00:00,44.0,,,,
Mendocino,2020-04-14T00:00:00,103.0,63.0,,,
Merced,2020-04-14T00:00:00,,,,,
Mono,2020-04-14T00:00:00,48.0,,,,
Modoc,2020-04-14T00:00:00,,,,,
Monterey,2020-04-14T00:00:00,,,108.0,,
Napa,2020-04-14T00:00:00,,,18.0,,
Nevada,2020-04-14T00:00:00,27.0,,,,
Orange,2020-04-14T00:00:00,276.0,,78.0,74.0,
Placer,2020-04-14T00:00:00,15.0,15.0,,,
Plumas,2020-04-14T00:00:00,,,,,
Riverside,2020-04-14T00:00:00,422.0,303.0,15.0,15.0,
Sacramento,2020-04-14T00:00:00,316.0,63.0,63.0,63.0,
San Benito,2020-04-14T00:00:00,,,,,
San Bernardino,2020-04-14T00:00:00,,,20.0,,20.0
San Diego,2020-04-14T00:00:00,2029.0,409.0,35.0,35.0,
San Francisco,2020-04-14T00:00:00,1012.0,327.0,,,
San Joaquin,2020-04-14T00:00:00,,,,,
San Luis Obispo,2020-04-14T00:00:00,154.0,,14.0,14.0,
San Mateo,2020-04-14T00:00:00,94.0,94.0,,,
Santa Barbara,2020-04-14T00:00:00,,,,,
Santa Clara,2020-04-14T00:00:00,453.0,170.0,105.0,105.0,
Santa Cruz,2020-04-14T00:00:00,27.0,17.0,35.0,,
Shasta,2020-04-14T00:00:00,,,,,
Sierra,2020-04-14T00:00:00,,,,,
Siskiyou,2020-04-14T00:00:00,,,,,
Solano,2020-04-14T00:00:00,,,,,
Sonoma,2020-04-14T00:00:00,45.0,45.0,,,
Stanislaus,2020-04-14T00:00:00,,,,,
Sutter,2020-04-14T00:00:00,16.0,16.0,,,
Tehama,2020-04-14T00:00:00,,,,,
Trinity,2020-04-14T00:00:00,,,,,
Tulare,2020-04-14T00:00:00,23.0,,,,
Tuolumne,2020-04-14T00:00:00,,,,,
Ventura,2020-04-14T00:00:00,398.0,275.0,,,
Yolo,2020-04-14T00:00:00,146.0,119.0,,,
Yuba,2020-04-14T00:00:00,30.0,18.0,,,
Alameda,2020-04-15T00:00:00,403.0,132.0,91.0,85.0,
Alpine,2020-04-15T00:00:00,,,,,
Amador,2020-04-15T00:00:00,,,,,
Butte,2020-04-15T00:00:00,65.0,65.0,,,
Calaveras,2020-04-15T00:00:00,,,,,
Colusa,2020-04-15T00:00:00,,,,,
Contra Costa,2020-04-15T00:00:00,340.0,,,,
Del Norte,2020-04-15T00:00:00,,,,,
El Dorado,2020-04-15T00:00:00,,,,,
Fresno,2020-04-15T00:00:00,305.0,250.0,28.0,,
Glenn,2020-04-15T00:00:00,,,,,
Humboldt,2020-04-15T00:00:00,,,15.0,,
Imperial,2020-04-15T00:00:00,36.0,,,,
Inyo,2020-04-15T00:00:00,,,,,
Kern,2020-04-15T00:00:00,,,15.0,15.0,
Kings,2020-04-15T00:00:00,,,,,
Lake,2020-04-15T00:00:00,,,,,
Lassen,2020-04-15T00:00:00,,,,,
Los Angeles,2020-04-15T00:00:00,2426.0,593.0,658.0,654.0,
Madera,2020-04-15T00:00:00,,,,,
Marin,2020-04-15T00:00:00,80.0,43.0,44.0,,
Mariposa,2020-04-15T00:00:00,44.0,,,,
Mendocino,2020-04-15T00:00:00,103.0,63.0,,,
Merced,2020-04-15T00:00:00,,,,,
Mono,2020-04-15T00:00:00,48.0,,,,
Modoc,2020-04-15T00:00:00,,,,,
Monterey,2020-04-15T00:00:00,,,108.0,,
Napa,2020-04-15T00:00:00,,,18.0,,
Nevada,2020-04-15T00:00:00,27.0,,,,
Orange,2020-04-15T00:00:00,276.0,,78.0,74.0,
Placer,2020-04-15T00:00:00,15.0,15.0,,,
Plumas,2020-04-15T00:00:00,,,,,
Riverside,2020-04-15T00:00:00,422.0,303.0,15.0,15.0,
Sacramento,2020-04-15T00:00:00,316.0,63.0,63.0,63.0,
San Benito,2020-04-15T00:00:00,,,,,
San Bernardino,2020-04-15T00:00:00,,,20.0,,20.0
San Diego,2020-04-15T00:00:00,2029.0,409.0,35.0,35.0,
San Francisco,2020-04-15T00:00:00,1012.0,751.0,,,
San Joaquin,2020-04-15T00:00:00,,,,,
San Luis Obispo,2020-04-15T00:00:00,154.0,,14.0,14.0,
San Mateo,2020-04-15T00:00:00,94.0,94.0,,,
Santa Barbara,2020-04-15T00:00:00,,,,,
Santa Clara,2020-04-15T00:00:00,453.0,170.0,105.0,105.0,
Santa Cruz,2020-04-15T00:00:00,27.0,17.0,35.0,,
Shasta,2020-04-15T00:00:00,,,,,
Sierra,2020-04-15T00:00:00,,,,,
Siskiyou,2020-04-15T00:00:00,,,,,
Solano,2020-04-15T00:00:00,,,,,
Sonoma,2020-04-15T00:00:00,45.0,45.0,,,
Stanislaus,2020-04-15T00:00:00,,,,,
Sutter,2020-04-15T00:00:00,16.0,16.0,,,
Tehama,2020-04-15T00:00:00,,,,,
Trinity,2020-04-15T00:00:00,,,,,
Tulare,2020-04-15T00:00:00,23.0,,,,
Tuolumne,2020-04-15T00:00:00,,,,,
Ventura,2020-04-15T00:00:00,398.0,275.0,,,
Yolo,2020-04-15T00:00:00,146.0,119.0,,,
Yuba,2020-04-15T00:00:00,30.0,18.0,,,
Alameda,2020-04-16T00:00:00,403.0,210.0,91.0,85.0,
Alpine,2020-04-16T00:00:00,,,,,
Amador,2020-04-16T00:00:00,,,,,
Butte,2020-04-16T00:00:00,71.0,71.0,,,
Calaveras,2020-04-16T00:00:00,20.0,20.0,,,
Colusa,2020-04-16T00:00:00,,,,,
Contra Costa,2020-04-16T00:00:00,340.0,,,,
Del Norte,2020-04-16T00:00:00,,,,,
El Dorado,2020-04-16T00:00:00,,,,,
Fresno,2020-04-16T00:00:00,305.0,250.0,28.0,28.0,
Glenn,2020-04-16T00:00:00,,,,,
Humboldt,2020-04-16T00:00:00,44.0,11.0,15.0,,
Imperial,2020-04-16T00:00:00,36.0,,,,
Inyo,2020-04-16T00:00:00,,,,,
Kern,2020-04-16T00:00:00,,,15.0,15.0,
Kings,2020-04-16T00:00:00,,,,,
Lake,2020-04-16T00:00:00,,,,,
Lassen,2020-04-16T00:00:00,,,,,
Los Angeles,2020-04-16T00:00:00,2654.0,707.0,658.0,654.0,
Madera,2020-04-16T00:00:00,,,,,
Marin,2020-04-16T00:00:00,112.0,65.0,44.0,,
Mariposa,2020-04-16T00:00:00,44.0,,,,
Mendocino,2020-04-16T00:00:00,128.0,82.0,,,
Merced,2020-04-16T00:00:00,,,,,
Mono,2020-04-16T00:00:00,48.0,,,,
Modoc,2020-04-16T00:00:00,,,,,
Monterey,2020-04-16T00:00:00,,,108.0,,
Napa,2020-04-16T00:00:00,104.0,47.0,18.0,,
Nevada,2020-04-16T00:00:00,27.0,,,,
Orange,2020-04-16T00:00:00,276.0,11.0,78.0,76.0,
Placer,2020-04-16T00:00:00,15.0,15.0,,,
Plumas,2020-04-16T00:00:00,,,,,
Riverside,2020-04-16T00:00:00,422.0,303.0,15.0,15.0,
Sacramento,2020-04-16T00:00:00,316.0,63.0,63.0,63.0,
San Benito,2020-04-16T00:00:00,,,,,
San Bernardino,2020-04-16T00:00:00,50.0,37.0,20.0,,20.0
San Diego,2020-04-16T00:00:00,2029.0,409.0,45.0,45.0,
San Francisco,2020-04-16T00:00:00,1271.0,748.0,,,
San Joaquin,2020-04-16T00:00:00,,,,,
San Luis Obispo,2020-04-16T00:00:00,154.0,,14.0,14.0,
San Mateo,2020-04-16T00:00:00,94.0,94.0,,,
Santa Barbara,2020-04-16T00:00:00,76.0,,,,
Santa Clara,2020-04-16T00:00:00,453.0,170.0,105.0,105.0,
Santa Cruz,2020-04-16T00:00:00,27.0,19.0,35.0,,
Shasta,2020-04-16T00:00:00,20.0,,,,
Sierra,2020-04-16T00:00:00,,,,,
Siskiyou,2020-04-16T00:00:00,,,,,
Solano,2020-04-16T00:00:00,,,,,
Sonoma,2020-04-16T00:00:00,45.0,45.0,,,
Stanislaus,2020-04-16T00:00:00,121.0,,,,
Sutter,2020-04-16T00:00:00,16.0,16.0,,,
Tehama,2020-04-16T00:00:00,,,,,
Trinity,2020-04-16T00:00:00,,,,,
Tulare,2020-04-16T00:00:00,23.0,,,,
Tuolumne,2020-04-16T00:00:00,,,,,
Ventura,2020-04-16T00:00:00,398.0,275.0,,,
Yolo,2020-04-16T00:00:00,246.0,206.0,,,
Yuba,2020-04-16T00:00:00,30.0,18.0,,,
Alameda,2020-04-17T00:00:00,403.0,299.0,91.0,85.0,
Alpine,2020-04-17T00:00:00,,,,,
Amador,2020-04-17T00:00:00,,,,,
Butte,2020-04-17T00:00:00,71.0,94.0,,,
Calaveras,2020-04-17T00:00:00,20.0,20.0,,,
Colusa,2020-04-17T00:00:00,,,,,
Contra Costa,2020-04-17T00:00:00,340.0,,,,
Del Norte,2020-04-17T00:00:00,,,,,
El Dorado,2020-04-17T00:00:00,,,,,
Fresno,2020-04-17T00:00:00,305.0,250.0,28.0,28.0,
Glenn,2020-04-17T00:00:00,,,,,
Humboldt,2020-04-17T00:00:00,44.0,11.0,15.0,,
Imperial,2020-04-17T00:00:00,36.0,,,,
Inyo,2020-04-17T00:00:00,,,,,
Kern,2020-04-17T00:00:00,,,15.0,15.0,
Kings,2020-04-17T00:00:00,,,,,
Lake,2020-04-17T00:00:00,,,,,
Lassen,2020-04-17T00:00:00,,,,,
Los Angeles,2020-04-17T00:00:00,3085.0,765.0,658.0,654.0,
Madera,2020-04-17T00:00:00,,,,,
Marin,2020-04-17T00:00:00,112.0,72.0,44.0,,
Mariposa,2020-04-17T00:00:00,44.0,,,,
Mendocino,2020-04-17T00:00:00,128.0,82.0,,,
Merced,2020-04-17T00:00:00,,,,,
Mono,2020-04-17T00:00:00,48.0,,,,
Modoc,2020-04-17T00:00:00,,,,,
Monterey,2020-04-17T00:00:00,,,108.0,,
Napa,2020-04-17T00:00:00,104.0,47.0,18.0,,
Nevada,2020-04-17T00:00:00,27.0,,,,
Orange,2020-04-17T00:00:00,276.0,31.0,78.0,76.0,
Placer,2020-04-17T00:00:00,15.0,15.0,,,
Plumas,2020-04-17T00:00:00,,,,,
Riverside,2020-04-17T00:00:00,422.0,303.0,15.0,15.0,
Sacramento,2020-04-17T00:00:00,316.0,63.0,63.0,63.0,
San Benito,2020-04-17T00:00:00,67.0,32.0,,,
San Bernardino,2020-04-17T00:00:00,50.0,37.0,20.0,,20.0
San Diego,2020-04-17T00:00:00,2029.0,409.0,45.0,45.0,
San Francisco,2020-04-17T00:00:00,1271.0,748.0,,,
San Joaquin,2020-04-17T00:00:00,,,,,
San Luis Obispo,2020-04-17T00:00:00,154.0,,14.0,14.0,
San Mateo,2020-04-17T00:00:00,94.0,94.0,,,
Santa Barbara,2020-04-17T00:00:00,76.0,,,,
Santa Clara,2020-04-17T00:00:00,453.0,234.0,105.0,105.0,
Santa Cruz,2020-04-17T00:00:00,27.0,19.0,35.0,,
Shasta,2020-04-17T00:00:00,20.0,,,,
Sierra,2020-04-17T00:00:00,,,,,
Siskiyou,2020-04-17T00:00:00,,,,,
Solano,2020-04-17T00:00:00,,,,,
Sonoma,2020-04-17T00:00:00,45.0,45.0,,,
Stanislaus,2020-04-17T00:00:00,121.0,,,,
Sutter,2020-04-17T00:00:00,16.0,16.0,,,
Tehama,2020-04-17T00:00:00,,,,,
Trinity,2020-04-17T00:00:00,,,,,
Tulare,2020-04-17T00:00:00,23.0,,,,
Tuolumne,2020-04-17T00:00:00,,,,,
Ventura,2020-04-17T00:00:00,398.0,275.0,,,
Yolo,2020-04-17T00:00:00,246.0,206.0,,,
Yuba,2020-04-17T00:00:00,35.0,18.0,,,
Alameda,2020-04-18T00:00:00,403.0,313.0,91.0,85.0,
Alpine,2020-04-18T00:00:00,,,,,
Amador,2020-04-18T00:00:00,,,,,
Butte,2020-04-18T00:00:00,94.0,94.0,,,
Calaveras,2020-04-18T00:00:00,20.0,20.0,,,
Colusa,2020-04-18T00:00:00,,,,,
Contra Costa,2020-04-18T00:00:00,340.0,,,,
Del Norte,2020-04-18T00:00:00,,,,,
El Dorado,2020-04-18T00:00:00,,,,,
Fresno,2020-04-18T00:00:00,305.0,250.0,28.0,28.0,
Glenn,2020-04-18T00:00:00,,,,,
Humboldt,2020-04-18T00:00:00,44.0,11.0,15.0,,
Imperial,2020-04-18T00:00:00,36.0,,,,
Inyo,2020-04-18T00:00:00,,,,,
Kern,2020-04-18T00:00:00,,,15.0,15.0,
Kings,2020-04-18T00:00:00,,,,,
Lake,2020-04-18T00:00:00,,,,,
Lassen,2020-04-18T00:00:00,,,,,
Los Angeles,2020-04-18T00:00:00,3085.0,830.0,658.0,654.0,
Madera,2020-04-18T00:00:00,,,,,
Marin,2020-04-18T00:00:00,112.0,72.0,44.0,,
Mariposa,2020-04-18T00:00:00,44.0,,,,
Mendocino,2020-04-18T00:00:00,128.0,82.0,,,
Merced,2020-04-18T00:00:00,,,,,
Mono,2020-04-18T00:00:00,48.0,,,,
Modoc,2020-04-18T00:00:00,,,,,
Monterey,2020-04-18T00:00:00,,,108.0,15.0,
Napa,2020-04-18T00:00:00,104.0,47.0,18.0,,
Nevada,2020-04-18T00:00:00,27.0,,,,
Orange,2020-04-18T00:00:00,276.0,31.0,78.0,76.0,
Placer,2020-04-18T00:00:00,15.0,15.0,,,
Plumas,2020-04-18T00:00:00,,,,,
Riverside,2020-04-18T00:00:00,422.0,303.0,15.0,15.0,
Sacramento,2020-04-18T00:00:00,316.0,63.0,63.0,63.0,
San Benito,2020-04-18T00:00:00,67.0,37.0,,,
San Bernardino,2020-04-18T00:00:00,50.0,37.0,20.0,,20.0
San Diego,2020-04-18T00:00:00,2029.0,409.0,45.0,45.0,
San Francisco,2020-04-18T00:00:00,1271.0,710.0,,,
San Joaquin,2020-04-18T00:00:00,,,,,
San Luis Obispo,2020-04-18T00:00:00,154.0,,14.0,14.0,
San Mateo,2020-04-18T00:00:00,94.0,94.0,,,
Santa Barbara,2020-04-18T00:00:00,76.0,,,,
Santa Clara,2020-04-18T00:00:00,453.0,234.0,105.0,105.0,
Santa Cruz,2020-04-18T00:00:00,27.0,19.0,35.0,,
Shasta,2020-04-18T00:00:00,20.0,,,,
Sierra,2020-04-18T00:00:00,,,,,
Siskiyou,2020-04-18T00:00:00,,,,,
Solano,2020-04-18T00:00:00,,,,,
Sonoma,2020-04-18T00:00:00,45.0,45.0,,,
Stanislaus,2020-04-18T00:00:00,121.0,,,,
Sutter,2020-04-18T00:00:00,16.0,16.0,,,
Tehama,2020-04-18T00:00:00,,,,,
Trinity,2020-04-18T00:00:00,,,,,
Tulare,2020-04-18T00:00:00,56.0,,,,
Tuolumne,2020-04-18T00:00:00,,,,,
Ventura,2020-04-18T00:00:00,398.0,275.0,,,
Yolo,2020-04-18T00:00:00,246.0,206.0,,,
Yuba,2020-04-18T00:00:00,35.0,18.0,,,
Alameda,2020-04-19T00:00:00,403.0,328.0,91.0,85.0,
Alpine,2020-04-19T00:00:00,,,,,
Amador,2020-04-19T00:00:00,,,,,
Butte,2020-04-19T00:00:00,94.0,94.0,,,
Calaveras,2020-04-19T00:00:00,20.0,20.0,,,
Colusa,2020-04-19T00:00:00,,,,,
Contra Costa,2020-04-19T00:00:00,340.0,,,,
Del Norte,2020-04-19T00:00:00,,,,,
El Dorado,2020-04-19T00:00:00,,,,,
Fresno,2020-04-19T00:00:00,305.0,250.0,28.0,28.0,
Glenn,2020-04-19T00:00:00,,,,,
Humboldt,2020-04-19T00:00:00,44.0,11.0,15.0,,
Imperial,2020-04-19T00:00:00,36.0,,,,
Inyo,2020-04-19T00:00:00,,,,,
Kern,2020-04-19T00:00:00,,,15.0,15.0,
Kings,2020-04-19T00:00:00,,,,,
Lake,2020-04-19T00:00:00,,,,,
Lassen,2020-04-19T00:00:00,,,,,
Los Angeles,2020-04-19T00:00:00,3172.0,830.0,658.0,654.0,
Madera,2020-04-19T00:00:00,,,,,
Marin,2020-04-19T00:00:00,112.0,72.0,44.0,,
Mariposa,2020-04-19T00:00:00,44.0,,,,
Mendocino,2020-04-19T00:00:00,128.0,82.0,,,
Merced,2020-04-19T00:00:00,,,,,
Mono,2020-04-19T00:00:00,48.0,,,,
Modoc,2020-04-19T00:00:00,,,,,
Monterey,2020-04-19T00:00:00,,,108.0,15.0,
Napa,2020-04-19T00:00:00,104.0,47.0,18.0,,
Nevada,2020-04-19T00:00:00,27.0,,,,
Orange,2020-04-19T00:00:00,276.0,31.0,78.0,76.0,
Placer,2020-04-19T00:00:00,15.0,15.0,,,
Plumas,2020-04-19T00:00:00,,,,,
Riverside,2020-04-19T00:00:00,422.0,303.0,15.0,15.0,
Sacramento,2020-04-19T00:00:00,316.0,63.0,63.0,63.0,
San Benito,2020-04-19T00:00:00,67.0,48.0,,,
San Bernardino,2020-04-19T00:00:00,50.0,37.0,20.0,,20.0
San Diego,2020-04-19T00:00:00,2029.0,409.0,45.0,45.0,
San Francisco,2020-04-19T00:00:00,1273.0,725.0,,,
San Joaquin,2020-04-19T00:00:00,,,,,
San Luis Obispo,2020-04-19T00:00:00,154.0,,14.0,14.0,
San Mateo,2020-04-19T00:00:00,94.0,94.0,,,
Santa Barbara,2020-04-19T00:00:00,76.0,,,,
Santa Clara,2020-04-19T00:00:00,453.0,234.0,105.0,105.0,
Santa Cruz,2020-04-19T00:00:00,27.0,20.0,35.0,,
Shasta,2020-04-19T00:00:00,20.0,,,,
Sierra,2020-04-19T00:00:00,,,,,
Siskiyou,2020-04-19T00:00:00,,,,,
Solano,2020-04-19T00:00:00,,,,,
Sonoma,2020-04-19T00:00:00,45.0,45.0,,,
Stanislaus,2020-04-19T00:00:00,121.0,,,,
Sutter,2020-04-19T00:00:00,16.0,16.0,,,
Tehama,2020-04-19T00:00:00,,,,,
Trinity,2020-04-19T00:00:00,,,,,
Tulare,2020-04-19T00:00:00,56.0,,,,
Tuolumne,2020-04-19T00:00:00,,,,,
Ventura,2020-04-19T00:00:00,398.0,275.0,,,
Yolo,2020-04-19T00:00:00,246.0,206.0,,,
Yuba,2020-04-19T00:00:00,35.0,18.0,,,
Alameda,2020-04-20T00:00:00,403.0,328.0,91.0,91.0,
Alpine,2020-04-20T00:00:00,,,,,
Amador,2020-04-20T00:00:00,,,,,
Butte,2020-04-20T00:00:00,82.0,82.0,,,
Calaveras,2020-04-20T00:00:00,20.0,20.0,,,
Colusa,2020-04-20T00:00:00,,,,,
Contra Costa,2020-04-20T00:00:00,340.0,,,,
Del Norte,2020-04-20T00:00:00,,,,,
El Dorado,2020-04-20T00:00:00,,,,,
Fresno,2020-04-20T00:00:00,305.0,250.0,28.0,28.0,
Glenn,2020-04-20T00:00:00,,,,,
Humboldt,2020-04-20T00:00:00,44.0,11.0,15.0,,
Imperial,2020-04-20T00:00:00,36.0,,,,
Inyo,2020-04-20T00:00:00,,,,,
Kern,2020-04-20T00:00:00,,,15.0,15.0,
Kings,2020-04-20T00:00:00,,,,,
Lake,2020-04-20T00:00:00,,,,,
Lassen,2020-04-20T00:00:00,,,,,
Los Angeles,2020-04-20T00:00:00,3172.0,888.0,658.0,647.0,
Madera,2020-04-20T00:00:00,,,,,
Marin,2020-04-20T00:00:00,112.0,73.0,44.0,,
Mariposa,2020-04-20T00:00:00,44.0,13.0,,,
Mendocino,2020-04-20T00:00:00,134.0,95.0,,,
Merced,2020-04-20T00:00:00,,,,,
Mono,2020-04-20T00:00:00,48.0,,,,
Modoc,2020-04-20T00:00:00,,,,,
Monterey,2020-04-20T00:00:00,,,108.0,15.0,
Napa,2020-04-20T00:00:00,104.0,48.0,18.0,,
Nevada,2020-04-20T00:00:00,27.0,,,,
Orange,2020-04-20T00:00:00,276.0,31.0,78.0,78.0,
Placer,2020-04-20T00:00:00,15.0,15.0,,,
Plumas,2020-04-20T00:00:00,,,,,
Riverside,2020-04-20T00:00:00,422.0,303.0,15.0,15.0,
Sacramento,2020-04-20T00:00:00,316.0,63.0,63.0,63.0,
San Benito,2020-04-20T00:00:00,67.0,41.0,,,
San Bernardino,2020-04-20T00:00:00,50.0,37.0,20.0,,20.0
San Diego,2020-04-20T00:00:00,2029.0,409.0,45.0,44.0,
San Francisco,2020-04-20T00:00:00,1273.0,718.0,,,
San Joaquin,2020-04-20T00:00:00,,,,,
San Luis Obispo,2020-04-20T00:00:00,154.0,,14.0,14.0,
San Mateo,2020-04-20T00:00:00,94.0,64.0,,,
Santa Barbara,2020-04-20T00:00:00,85.0,,,,
Santa Clara,2020-04-20T00:00:00,453.0,234.0,105.0,105.0,
Santa Cruz,2020-04-20T00:00:00,27.0,20.0,35.0,,
Shasta,2020-04-20T00:00:00,20.0,,,,
Sierra,2020-04-20T00:00:00,,,,,
Siskiyou,2020-04-20T00:00:00,,,,,
Solano,2020-04-20T00:00:00,,,,,
Sonoma,2020-04-20T00:00:00,45.0,45.0,,,
Stanislaus,2020-04-20T00:00:00,121.0,,,,
Sutter,2020-04-20T00:00:00,16.0,16.0,,,
Tehama,2020-04-20T00:00:00,,,,,
Trinity,2020-04-20T00:00:00,,,,,
Tulare,2020-04-20T00:00:00,56.0,,,,
Tuolumne,2020-04-20T00:00:00,,,,,
Ventura,2020-04-20T00:00:00,398.0,275.0,,,
Yolo,2020-04-20T00:00:00,246.0,206.0,,,
Yuba,2020-04-20T00:00:00,35.0,18.0,,,
Alameda,2020-04-21T00:00:00,403.0,346.0,91.0,91.0,
Alpine ,2020-04-21T00:00:00,,,,,
Amador,2020-04-21T00:00:00,,,,,
Butte,2020-04-21T00:00:00,82.0,82.0,,,
Calaveras,2020-04-21T00:00:00,20.0,20.0,,,
Colusa,2020-04-21T00:00:00,,,,,
Contra Costa,2020-04-21T00:00:00,340.0,,,,
Del Norte,2020-04-21T00:00:00,,,,,
El Dorado,2020-04-21T00:00:00,,,,,
Fresno,2020-04-21T00:00:00,305.0,250.0,28.0,28.0,
Glenn ,2020-04-21T00:00:00,,,,,
Humboldt,2020-04-21T00:00:00,44.0,11.0,15.0,,
Imperial,2020-04-21T00:00:00,36.0,,37.0,,
Inyo,2020-04-21T00:00:00,,,,,
Kern,2020-04-21T00:00:00,,,15.0,15.0,
Kings,2020-04-21T00:00:00,,,,,
Lake ,2020-04-21T00:00:00,,,,,
Lassen,2020-04-21T00:00:00,,,,,
Los Angeles,2020-04-21T00:00:00,3292.0,939.0,658.0,647.0,
Madera,2020-04-21T00:00:00,,,,,
Marin ,2020-04-21T00:00:00,112.0,73.0,44.0,,
Mariposa,2020-04-21T00:00:00,44.0,13.0,,,
Mendocino,2020-04-21T00:00:00,140.0,101.0,,,
Merced,2020-04-21T00:00:00,,,,,
Modoc,2020-04-21T00:00:00,,,,,
Mono ,2020-04-21T00:00:00,48.0,,,,
Monterey,2020-04-21T00:00:00,,,108.0,15.0,
Napa,2020-04-21T00:00:00,104.0,48.0,18.0,,
Nevada,2020-04-21T00:00:00,27.0,,,,
Orange,2020-04-21T00:00:00,276.0,31.0,78.0,78.0,
Placer,2020-04-21T00:00:00,32.0,32.0,12.0,,
Plumas,2020-04-21T00:00:00,,,,,
Riverside,2020-04-21T00:00:00,422.0,303.0,15.0,15.0,
Sacramento,2020-04-21T00:00:00,316.0,63.0,63.0,63.0,
San Benito,2020-04-21T00:00:00,67.0,41.0,,,
San Bernardino,2020-04-21T00:00:00,50.0,37.0,20.0,,20.0
San Diego,2020-04-21T00:00:00,2029.0,409.0,44.0,44.0,
San Francisco,2020-04-21T00:00:00,1273.0,737.0,,,
San Joaquin,2020-04-21T00:00:00,,,,,
San Luis Obispo,2020-04-21T00:00:00,154.0,,14.0,14.0,
San Mateo,2020-04-21T00:00:00,94.0,64.0,,,
Santa Barbara,2020-04-21T00:00:00,85.0,,,,
Santa Clara,2020-04-21T00:00:00,575.0,226.0,105.0,105.0,
Santa Cruz,2020-04-21T00:00:00,27.0,20.0,35.0,,
Shasta ,2020-04-21T00:00:00,20.0,,,,
Sierra,2020-04-21T00:00:00,,,,,
Siskiyou,2020-04-21T00:00:00,,,,,
Solano ,2020-04-21T00:00:00,,,,,
Sonoma,2020-04-21T00:00:00,45.0,45.0,,,
Stanislaus,2020-04-21T00:00:00,121.0,,,,
Sutter,2020-04-21T00:00:00,16.0,16.0,,,
Tehama,2020-04-21T00:00:00,,,,,
Trinity,2020-04-21T00:00:00,,,,,
Tulare,2020-04-21T00:00:00,56.0,,,,
Tuolumne,2020-04-21T00:00:00,,,,,
Ventura,2020-04-21T00:00:00,398.0,275.0,,,
Yolo,2020-04-21T00:00:00,246.0,206.0,,,
Yuba,2020-04-21T00:00:00,35.0,18.0,,,
Alameda,2020-04-22T00:00:00,403.0,346.0,91.0,91.0,
Alpine,2020-04-22T00:00:00,,,,,
Amador,2020-04-22T00:00:00,,,,,
Butte,2020-04-22T00:00:00,82.0,82.0,,,
Calaveras,2020-04-22T00:00:00,20.0,20.0,,,
Colusa,2020-04-22T00:00:00,,,,,
Contra Costa,2020-04-22T00:00:00,340.0,,,,
Del Norte,2020-04-22T00:00:00,,,,,
El Dorado,2020-04-22T00:00:00,,,,,
Fresno,2020-04-22T00:00:00,305.0,250.0,28.0,28.0,
Glenn,2020-04-22T00:00:00,,,,,
Humboldt,2020-04-22T00:00:00,44.0,11.0,15.0,,
Imperial,2020-04-22T00:00:00,36.0,,37.0,,
Inyo,2020-04-22T00:00:00,,,,,
Kern,2020-04-22T00:00:00,,,15.0,15.0,
Kings,2020-04-22T00:00:00,,,,,
Lake,2020-04-22T00:00:00,,,,,
Lassen,2020-04-22T00:00:00,,,,,
Los Angeles,2020-04-22T00:00:00,3292.0,1054.0,658.0,647.0,
Madera,2020-04-22T00:00:00,,,,,
Marin,2020-04-22T00:00:00,132.0,80.0,44.0,,
Mariposa,2020-04-22T00:00:00,44.0,12.0,,,
Mendocino,2020-04-22T00:00:00,143.0,104.0,,,
Merced,2020-04-22T00:00:00,,,,,
Modoc,2020-04-22T00:00:00,,,,,
Mono,2020-04-22T00:00:00,48.0,,,,
Monterey,2020-04-22T00:00:00,142.0,,108.0,15.0,
Napa,2020-04-22T00:00:00,104.0,48.0,18.0,,
Nevada,2020-04-22T00:00:00,27.0,,,,
Orange,2020-04-22T00:00:00,276.0,31.0,78.0,78.0,
Placer,2020-04-22T00:00:00,32.0,32.0,12.0,,
Plumas,2020-04-22T00:00:00,,,,,
Riverside,2020-04-22T00:00:00,422.0,303.0,15.0,15.0,
Sacramento,2020-04-22T00:00:00,316.0,63.0,63.0,63.0,
San Benito,2020-04-22T00:00:00,67.0,61.0,,,
San Bernardino,2020-04-22T00:00:00,50.0,37.0,20.0,,20.0
San Diego,2020-04-22T00:00:00,2029.0,409.0,44.0,44.0,
